edge_id,start_node,end_node,route_class,estimated_width_px,length_px,added_bridge,polyline_xy
e065,27,35,sub,4.0,98.23,False,"[[773.0, 151.0], [752.0, 156.0], [732.0, 165.0], [714.0, 182.0], [700.0, 202.0]]"
e066,100,104,sub,4.0,14.41,False,"[[801.0, 402.0], [802.0, 416.0]]"
e067,100,96,sub,4.0,5.0,False,"[[801.0, 400.0], [801.0, 395.0]]"
e068,5,1,mini,2.83,37.14,False,"[[493.0, 30.0], [495.0, 9.0], [499.0, 2.0], [504.0, 0.0]]"
e069,80,73,link,5.66,26.97,False,"[[518.0, 353.0], [530.0, 331.0]]"
e070,80,82,main,8.49,2.41,False,"[[518.0, 353.0], [519.0, 355.0]]"
e071,56,43,sub,4.0,93.33,False,"[[513.0, 284.0], [499.0, 282.0], [484.0, 275.0], [464.0, 241.0], [459.0, 236.0], [449.0, 235.0]]"
e072,56,68,sub,4.0,47.21,False,"[[513.0, 284.0], [524.0, 304.0], [528.0, 325.0]]"
e073,68,73,link,6.0,4.83,False,"[[528.0, 327.0], [530.0, 331.0]]"
e074,64,54,sub,4.0,20.49,False,"[[301.0, 301.0], [297.0, 296.0], [295.0, 283.0]]"
e075,64,77,sub,4.0,46.73,False,"[[301.0, 302.0], [309.0, 337.0], [308.0, 345.0]]"
e076,64,63,sub,4.0,18.83,False,"[[302.0, 301.0], [320.0, 299.0]]"
e077,82,85,sub,4.0,71.66,False,"[[520.0, 356.0], [590.0, 360.0]]"
e078,82,101,sub,4.0,52.56,False,"[[519.0, 357.0], [524.0, 393.0], [533.0, 402.0]]"
e079,99,102,sub,4.0,59.14,False,"[[418.0, 397.0], [473.0, 407.0]]"
e080,74,70,sub,4.0,28.9,False,"[[618.0, 333.0], [623.0, 328.0], [644.0, 328.0]]"
e081,105,106,sub,4.47,12.0,False,"[[595.0, 418.0], [607.0, 418.0]]"
e082,105,103,sub,4.0,59.66,False,"[[592.0, 419.0], [534.0, 415.0]]"
e083,105,85,sub,4.0,57.24,False,"[[594.0, 417.0], [593.0, 361.0]]"
e084,105,115,mini,2.83,77.53,False,"[[593.0, 420.0], [586.0, 456.0], [572.0, 477.0], [570.0, 488.0]]"
e085,67,78,sub,4.47,40.14,False,"[[714.0, 313.0], [723.0, 338.0], [722.0, 349.0]]"
e086,67,59,sub,4.47,28.04,False,"[[713.0, 312.0], [694.0, 293.0]]"
e087,45,29,sub,4.47,101.61,False,"[[575.0, 234.0], [607.0, 185.0], [632.0, 156.0]]"
e088,45,48,mini,2.83,16.07,False,"[[575.0, 236.0], [589.0, 241.0]]"
e089,102,103,sub,4.0,60.31,False,"[[475.0, 407.0], [532.0, 415.0]]"
e090,26,22,link,6.0,2.83,False,"[[613.0, 132.0], [615.0, 130.0]]"
e091,26,29,sub,4.47,30.04,False,"[[613.0, 133.0], [632.0, 154.0]]"
e092,52,53,sub,4.47,16.73,False,"[[665.0, 269.0], [656.0, 282.0]]"
e093,52,55,link,6.32,27.8,False,"[[667.0, 269.0], [672.0, 270.0], [689.0, 283.0]]"
e094,52,50,sub,4.47,21.14,False,"[[666.0, 268.0], [660.0, 261.0], [650.0, 257.0]]"
e095,17,28,sub,4.0,63.04,False,"[[513.0, 98.0], [517.0, 115.0], [518.0, 139.0], [532.0, 152.0]]"
e096,17,24,sub,4.0,113.67,False,"[[511.0, 98.0], [411.0, 131.0]]"
e097,17,19,sub,4.47,95.91,False,"[[513.0, 96.0], [535.0, 89.0], [557.0, 92.0], [594.0, 118.0]]"
e098,70,79,sub,4.47,41.87,False,"[[647.0, 331.0], [681.0, 350.0]]"
e099,70,92,sub,4.0,43.41,False,"[[646.0, 331.0], [645.0, 374.0]]"
