pair_id,source,destination,initial_path,initial_cost,final_path,final_cost,reroutes,reached,pso_alpha,pso_beta,pso_rho
0,0,9,0-1-5-9,420.59,0-1-5-9,502.82,0,YES,0.5053,1.0488,0.7727
1,0,7,0-1-5-6-7,475.00,0-1-5-6-7,488.25,0,YES,0.8472,4.3177,0.7020
2,0,3,0-1-2-3,370.00,1-2-3,411.23,1,YES,1.3007,1.5080,0.6540
3,1,8,1-5-8,252.50,5-8,274.12,1,YES,0.6407,3.1058,0.9404
4,1,9,1-5-8-9,380.83,5-9,369.02,1,YES,0.7844,1.1887,0.7893
5,2,8,2-1-5-8,362.50,2-1-5-8,393.82,0,YES,0.5039,2.9734,0.5824
6,2,9,2-6-9,272.50,2-6-9,291.25,0,YES,1.4229,1.2277,0.7479
7,3,9,3-2-6-9,372.50,6-9,426.12,1,YES,0.7686,1.8991,0.9128
8,4,7,4-5-6-7,369.17,5-6-7,381.21,1,YES,0.9623,1.6638,0.6645
9,4,9,4-5-9,314.75,4-5-9,353.68,0,YES,1.0193,2.2384,0.8471
10,5,9,5-9,193.09,5-9,194.94,0,YES,0.8856,3.6582,0.8710
11,6,9,6-5-9,310.59,6-5-9,317.84,0,YES,1.3025,4.8159,0.9223
12,7,0,7-3-2-1-0,432.50,1-0,451.35,1,YES,1.3713,4.6046,0.5297
13,7,9,7-6-9,267.50,7-6-9,290.65,0,YES,1.4751,4.2853,0.6486
14,8,1,8-5-1,212.50,8-5-1,217.55,0,YES,1.4708,1.3595,0.6060
15,9,0,9-8-4-0,350.59,4-0,372.30,1,YES,0.9396,1.9890,0.9566
16,9,3,9-6-2-3,337.50,9-6-2-3,347.97,0,YES,0.7236,1.0355,0.8311
